Client_ID,Office_ID,BSOD_count,Hard_reset_count,Boot_Speed,Logon_Duration,CPU_Usage,Memory_Usage,System_Free_Space
1,732,0,0,20573,12392,0,0,447340969984
1,27,0,0,9114,16020,0.002,0,49637769216
1,476,0,0,8931,19136,0,0,129237209088
1,628,0,19,15089,63420,0,0,162441125888
1,729,0,0,5742,9467,0,0,133034737664
1,640,0,0,13192,9628,0.034,0,141507813376
1,31,0,0,8609,15283,0.001,0.164,32558764032
1,341,0,0,13707,8775,0,0,118916898816
1,31,0,0,5918,11889,0,0,62900318208
1,341,0,0,7479,3479,0,0.105,198911066112
1,31,0,1,11702,27755,0.003,0,118996320256
1,124,1,1,15227,15083,0.003,0,120222818304
1,476,0,0,15869,14673,0.001,0,115807059968
1,341,0,0,13535,15243,0.001,0,198867525632
1,27,0,20,26495,15192,0.001,0,196840910848
1,732,0,0,8157,15589,0.001,0.01,40028094464
1,341,0,0,5766,9586,0,0,146873241600
1,388,0,0,11876,19500,0.005,0,100115185664
1,88,0,0,7674,28869,0.036,0,195541430272
1,172,0,0,13813,19536,0,0,1974644736
1,476,0,2,8663,19497,0.01,0,123726385152
1,124,0,0,9488,17217,0.004,0,47797575680
1,172,0,0,40776,16552,0.053,0.001,21891448832
1,476,0,1,8266,9130,0,0.002,179739955200
1,27,0,0,9014,16149,0.001,0,89951879168
1,124,0,0,10196,11769,0.006,0,135090221056
1,88,0,0,18749,15046,0,0,132279517184
1,341,0,0,14761,13807,0,0,10429059072
1,341,0,0,10582,7004,0.001,0,83005628416
1,172,0,0,31561,25432,0.011,0,182666346496
1,476,0,0,11236,21876,0,0,102874095616
1,341,0,0,32753,43934,0.003,0.032,166433435648
1,628,0,0,16468,17482,0,0,109454622720
1,476,0,0,10976,8648,0.055,0,11579908096
1,341,0,0,6508,13567,0,0,152797634560
1,341,0,0,10950,24910,0.001,0,152974352384
1,476,0,0,9641,25432,0,0,58089975808
1,31,0,0,22832,14734,0.004,0,183297622016
1,27,0,0,14779,14640,0,0,137335476224
1,31,0,1,13982,14657,0.002,0,196841775104
1,27,0,0,42036,16125,0,0,829957767168
1,27,0,0,17244,21882,0,0.064,146822184960
